,image,genre
11,"[[[ 98 117 134]
  [ 95 114 131]
  [ 91 110 125]
  ...
  [164 190 205]
  [166 192 207]
  [169 195 210]]

 [[ 93 112 129]
  [ 91 110 127]
  [ 89 108 123]
  ...
  [150 178 192]
  [153 179 194]
  [154 182 196]]

 [[ 84 103 120]
  [ 84 103 120]
  [ 85 104 119]
  ...
  [132 161 175]
  [135 163 177]
  [135 164 178]]

 ...

 [[ 20  21  26]
  [ 20  21  26]
  [ 20  21  26]
  ...
  [  6   6  18]
  [  7   5  18]
  [  7   7  19]]

 [[ 17  18  23]
  [ 17  18  23]
  [ 17  18  23]
  ...
  [  6   8  20]
  [  8   8  20]
  [  6   8  20]]

 [[ 17  18  23]
  [ 17  18  23]
  [ 17  18  23]
  ...
  [  6   8  20]
  [  6   8  20]
  [  6   8  20]]]",action
12,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",action
13,"[[[254 255 255]
  [254 255 255]
  [254 255 255]
  ...
  [252 255 255]
  [252 255 255]
  [252 255 255]]

 [[254 255 255]
  [254 255 255]
  [254 255 255]
  ...
  [252 255 255]
  [252 255 255]
  [252 255 255]]

 [[254 255 253]
  [254 255 253]
  [254 255 253]
  ...
  [254 255 255]
  [254 255 255]
  [254 255 255]]

 ...

 [[254 255 255]
  [254 255 255]
  [254 255 255]
  ...
  [250 254 253]
  [250 254 253]
  [250 254 253]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [254 255 255]
  [254 255 255]
  [254 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",action
14,"[[[15  1 18]
  [15  1 18]
  [15  1 18]
  ...
  [10 23 76]
  [10 23 76]
  [10 23 76]]

 [[15  1 18]
  [15  1 18]
  [15  1 18]
  ...
  [10 23 76]
  [10 23 76]
  [10 23 76]]

 [[17  0 18]
  [17  0 18]
  [17  0 18]
  ...
  [10 23 76]
  [10 23 76]
  [10 23 76]]

 ...

 [[25  1 14]
  [25  2 12]
  [25  1 14]
  ...
  [ 3 22 65]
  [ 3 21 67]
  [ 3 22 65]]

 [[24  0 14]
  [24  0 13]
  [24  0 14]
  ...
  [ 3 22 64]
  [ 3 22 65]
  [ 3 22 64]]

 [[24  0 14]
  [24  0 14]
  [24  0 14]
  ...
  [ 3 22 64]
  [ 3 22 64]
  [ 3 22 64]]]",action
15,"[[[251 255 255]
  [251 255 255]
  [251 255 255]
  ...
  [255 255 246]
  [255 255 246]
  [253 253 243]]

 [[  0   3  12]
  [  0   3  12]
  [  0   3  12]
  ...
  [254 254 244]
  [252 249 240]
  [242 242 232]]

 [[  7  11  20]
  [  7  11  20]
  [  7  11  20]
  ...
  [234 231 222]
  [226 222 213]
  [215 212 203]]

 ...

 [[ 30  21  22]
  [ 30  21  22]
  [ 30  21  22]
  ...
  [ 30  21  22]
  [ 30  21  22]
  [ 30  21  22]]

 [[ 32  28  27]
  [ 32  28  27]
  [ 32  28  27]
  ...
  [ 32  28  27]
  [ 32  28  27]
  [ 32  28  27]]

 [[255 255 253]
  [255 255 253]
  [255 255 253]
  ...
  [255 255 253]
  [255 255 253]
  [255 255 253]]]",action
16,"[[[255 254 255]
  [255 254 255]
  [255 254 255]
  ...
  [255 254 255]
  [255 254 255]
  [255 254 255]]

 [[255 254 255]
  [255 254 255]
  [255 254 255]
  ...
  [255 254 255]
  [255 254 255]
  [255 254 255]]

 [[255 254 255]
  [255 254 255]
  [255 254 255]
  ...
  [255 254 255]
  [255 254 255]
  [255 254 255]]

 ...

 [[255 254 255]
  [255 255 255]
  [255 254 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",action
17,"[[[204 218 221]
  [203 217 220]
  [200 214 217]
  ...
  [ 16  70  98]
  [ 16  70  98]
  [ 16  70  98]]

 [[205 219 222]
  [204 218 221]
  [202 216 219]
  ...
  [ 16  70  98]
  [ 16  70  98]
  [ 16  70  98]]

 [[207 221 224]
  [206 220 223]
  [204 218 221]
  ...
  [ 18  69  98]
  [ 18  69  98]
  [ 18  69  98]]

 ...

 [[ 44  56  68]
  [ 14  26  38]
  [  0   2  14]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[  4  14  26]
  [ 15  25  37]
  [  5  17  29]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[ 16  26  38]
  [ 31  41  53]
  [ 22  34  46]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",action
18,"[[[250 254 255]
  [250 254 253]
  [251 255 254]
  ...
  [ 40  61  78]
  [ 37  56  71]
  [ 33  52  67]]

 [[250 254 255]
  [250 254 253]
  [251 255 254]
  ...
  [ 39  58  75]
  [ 33  52  67]
  [ 30  49  64]]

 [[250 254 255]
  [251 255 254]
  [251 255 254]
  ...
  [ 34  51  69]
  [ 29  46  62]
  [ 25  42  58]]

 ...

 [[  9  23  34]
  [ 10  24  33]
  [ 13  23  33]
  ...
  [  1   0  10]
  [  1   0  10]
  [  1   0  10]]

 [[ 12  25  34]
  [ 15  25  34]
  [ 18  25  33]
  ...
  [  1   0  10]
  [  1   0  10]
  [  1   0  10]]

 [[ 14  24  33]
  [ 16  25  32]
  [ 20  24  33]
  ...
  [  1   0  10]
  [  1   0  10]
  [  1   0  10]]]",action
19,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",action
20,"[[[254 148   4]
  [253 147   3]
  [253 147   3]
  ...
  [254 156   5]
  [253 155   4]
  [252 154   3]]

 [[254 148   4]
  [254 148   4]
  [253 147   3]
  ...
  [255 158   7]
  [255 158   7]
  [255 157   6]]

 [[254 149   5]
  [253 148   4]
  [252 147   3]
  ...
  [255 160   9]
  [255 160   9]
  [255 160   9]]

 ...

 [[122  52  27]
  [113  43  18]
  [124  54  29]
  ...
  [ 73  24  10]
  [ 63  11   0]
  [ 86  34  20]]

 [[122  54  31]
  [122  54  31]
  [117  49  26]
  ...
  [ 69  20   6]
  [ 76  27  13]
  [ 74  25  11]]

 [[107  41  17]
  [104  38  14]
  [ 99  33  11]
  ...
  [ 73  24  10]
  [ 80  31  17]
  [ 79  30  16]]]",action
21,"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]",action
22,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",action
23,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",action
24,"[[[101 126 131]
  [101 126 131]
  [102 127 132]
  ...
  [ 47  70  78]
  [ 47  70  78]
  [ 47  70  78]]

 [[101 126 131]
  [102 127 132]
  [102 127 132]
  ...
  [ 47  70  78]
  [ 47  70  78]
  [ 47  70  78]]

 [[102 127 132]
  [102 127 132]
  [103 128 133]
  ...
  [ 49  72  80]
  [ 49  72  80]
  [ 49  72  80]]

 ...

 [[ 45  45  45]
  [ 61  63  62]
  [ 46  47  49]
  ...
  [135  71  43]
  [135  71  43]
  [135  71  43]]

 [[ 70  76  74]
  [ 59  65  63]
  [ 74  80  78]
  ...
  [137  73  45]
  [141  76  46]
  [143  78  48]]

 [[ 72  81  78]
  [ 60  69  66]
  [ 74  83  80]
  ...
  [137  73  45]
  [141  76  46]
  [143  78  48]]]",action
25,"[[[255 254 251]
  [255 254 251]
  [255 254 251]
  ...
  [255 254 251]
  [255 254 251]
  [255 254 251]]

 [[255 254 251]
  [255 254 251]
  [255 254 251]
  ...
  [255 254 251]
  [255 254 251]
  [255 254 251]]

 [[255 255 253]
  [255 255 253]
  [255 255 253]
  ...
  [255 255 253]
  [255 255 253]
  [255 255 253]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",action
26,"[[[254 255 255]
  [254 255 255]
  [254 255 255]
  ...
  [252 255 255]
  [252 255 255]
  [252 255 255]]

 [[254 255 255]
  [254 255 255]
  [254 255 255]
  ...
  [252 255 255]
  [252 255 255]
  [252 255 255]]

 [[252 255 255]
  [252 255 255]
  [254 255 255]
  ...
  [254 255 255]
  [254 255 255]
  [254 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",action
27,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",action
28,"[[[ 69  16 104]
  [ 73  20 108]
  [ 79  23 110]
  ...
  [ 90  27  80]
  [ 88  28  82]
  [ 88  28  82]]

 [[ 69  16 104]
  [ 72  19 107]
  [ 78  24 110]
  ...
  [ 91  28  81]
  [ 90  27  80]
  [ 90  27  80]]

 [[ 68  15 103]
  [ 72  19 107]
  [ 78  24 112]
  ...
  [ 95  31  83]
  [ 94  30  82]
  [ 94  30  82]]

 ...

 [[ 18  48  74]
  [ 13  41  65]
  [  8  33  53]
  ...
  [ 21  20  18]
  [ 21  20  18]
  [ 21  20  18]]

 [[ 21  49  73]
  [ 21  47  70]
  [  8  30  51]
  ...
  [ 21  20  18]
  [ 21  20  18]
  [ 21  20  18]]

 [[ 21  49  73]
  [ 21  47  70]
  [  8  30  51]
  ...
  [ 21  20  18]
  [ 21  20  18]
  [ 21  20  18]]]",action
29,"[[[ 55  25  87]
  [ 55  25  87]
  [ 56  25  85]
  ...
  [  7  37 109]
  [  7  37 109]
  [  7  37 109]]

 [[ 55  25  87]
  [ 55  25  87]
  [ 57  26  86]
  ...
  [  7  37 109]
  [  7  37 109]
  [  7  37 109]]

 [[ 56  26  86]
  [ 56  26  86]
  [ 57  26  86]
  ...
  [  6  36 108]
  [  6  36 108]
  [  6  36 108]]

 ...

 [[ 13  58 126]
  [  9  56 124]
  [ 16  63 131]
  ...
  [ 84 158 187]
  [ 79 152 184]
  [ 75 148 181]]

 [[  8  55 125]
  [ 13  60 130]
  [ 12  61 130]
  ...
  [ 86 160 189]
  [ 81 152 184]
  [ 77 148 180]]

 [[  8  55 125]
  [ 12  61 130]
  [ 12  60 132]
  ...
  [ 86 160 189]
  [ 81 152 184]
  [ 77 148 180]]]",action
30,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",action
31,"[[[ 72  95 136]
  [ 91 114 155]
  [ 91 114 155]
  ...
  [ 62 116 142]
  [ 63 117 143]
  [ 89 143 169]]

 [[ 90 113 154]
  [ 86 109 150]
  [ 69  92 133]
  ...
  [107 161 187]
  [107 161 187]
  [ 94 148 174]]

 [[ 75  98 139]
  [ 78 101 142]
  [ 76  99 140]
  ...
  [112 166 192]
  [ 99 155 180]
  [102 158 183]]

 ...

 [[ 92  31  28]
  [ 84  23  18]
  [ 74  13  10]
  ...
  [108  48  38]
  [115  55  45]
  [119  59  49]]

 [[ 73  15  13]
  [ 70  12   8]
  [ 80  22  20]
  ...
  [ 88  38  29]
  [ 88  35  27]
  [ 93  39  29]]

 [[ 71  16  13]
  [ 68  13  10]
  [ 78  23  20]
  ...
  [ 86  39  31]
  [ 85  36  29]
  [ 90  40  31]]]",action
32,"[[[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[253 254 255]
  [253 254 255]
  [253 254 255]
  ...
  [253 254 255]
  [253 254 255]
  [253 254 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 251]
  [255 255 253]
  [255 255 251]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 253]
  [255 255 255]
  [255 255 253]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",action
33,"[[[252 255 255]
  [252 255 255]
  [252 255 255]
  ...
  [252 255 255]
  [252 255 255]
  [252 255 255]]

 [[252 255 255]
  [252 255 255]
  [252 255 255]
  ...
  [252 255 255]
  [252 255 255]
  [252 255 255]]

 [[254 255 253]
  [254 255 253]
  [254 255 253]
  ...
  [254 255 253]
  [254 255 253]
  [254 255 253]]

 ...

 [[254 255 255]
  [252 255 255]
  [254 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [254 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",action
34,"[[[131 130 138]
  [120 119 127]
  [104 102 113]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[132 131 139]
  [126 125 133]
  [108 106 117]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[173 172 180]
  [106 105 113]
  [ 58  56  67]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[ 62   1   0]
  [ 61   1   0]
  [ 62   1   0]
  ...
  [  7   1   1]
  [  7   1   1]
  [  7   1   1]]

 [[ 65   1   2]
  [ 63   1   2]
  [ 65   1   2]
  ...
  [  4   0   0]
  [  4   0   0]
  [  4   0   0]]

 [[ 65   1   2]
  [ 65   1   2]
  [ 65   1   2]
  ...
  [  4   0   0]
  [  4   0   0]
  [  4   0   0]]]",action
